customerid,age,gender,frequencyofpurchases,purchaseamount,interactiontype,subscriptionstatus,promocodeused,previouspurchases,timestamp
1,55,Male,Fortnightly,53,purchase,Yes,Yes,14,2023-10-10
2,19,Male,Fortnightly,64,view,Yes,Yes,2,2023-10-11
3,50,Male,Weekly,73,like,Yes,Yes,23,2023-10-12
4,21,Male,Weekly,90,view,Yes,Yes,49,2023-10-13
5,45,Male,Annually,49,like,Yes,Yes,31,2023-10-14
6,46,Male,Weekly,20,like,Yes,Yes,14,2023-10-15
7,63,Male,Quarterly,85,purchase,Yes,Yes,49,2023-10-16
8,27,Male,Weekly,34,view,Yes,Yes,19,2023-10-17
9,26,Male,Annually,97,like,Yes,Yes,8,2023-10-18
10,57,Male,Quarterly,31,purchase,Yes,Yes,4,2023-10-19
11,53,Male,Bi-Weekly,34,purchase,Yes,Yes,26,2023-10-20
12,30,Male,Fortnightly,68,view,Yes,Yes,10,2023-10-21
13,61,Male,Fortnightly,72,like,Yes,Yes,37,2023-10-22
14,65,Male,Weekly,51,view,Yes,Yes,31,2023-10-23
15,64,Male,Weekly,53,like,Yes,Yes,34,2023-10-24
16,64,Male,Monthly,81,like,Yes,Yes,8,2023-10-25
17,25,Male,Bi-Weekly,36,purchase,Yes,Yes,44,2023-10-26
18,53,Male,Quarterly,38,view,Yes,Yes,36,2023-10-27
19,52,Male,Weekly,48,like,Yes,Yes,17,2023-10-28
20,66,Male,Bi-Weekly,90,purchase,Yes,Yes,46,2023-10-29
21,21,Male,Every 3 Months,51,purchase,Yes,Yes,50,2023-10-30
22,31,Male,Quarterly,62,view,Yes,Yes,22,2023-10-31
23,56,Male,Annually,37,like,Yes,Yes,32,2023-11-01
24,31,Male,Weekly,88,view,Yes,Yes,40,2023-11-02
25,18,Male,Weekly,22,like,Yes,Yes,16,2023-11-03
26,18,Male,Annually,25,like,Yes,Yes,14,2023-11-04
27,38,Male,Annually,20,purchase,Yes,Yes,13,2023-11-05
28,56,Male,Every 3 Months,56,view,Yes,Yes,7,2023-11-06
29,54,Male,Every 3 Months,94,like,Yes,Yes,41,2023-11-07
30,31,Male,Weekly,48,purchase,Yes,Yes,14,2023-11-08
31,57,Male,Monthly,31,purchase,Yes,Yes,16,2023-11-09
32,33,Male,Monthly,79,view,Yes,Yes,45,2023-11-10
33,36,Male,Annually,67,like,Yes,Yes,37,2023-11-11
34,54,Male,Quarterly,38,view,Yes,Yes,45,2023-11-12
35,36,Male,Quarterly,91,like,Yes,Yes,38,2023-11-13
36,54,Male,Bi-Weekly,33,like,Yes,Yes,48,2023-11-14
37,35,Male,Fortnightly,69,purchase,Yes,Yes,44,2023-11-15
38,35,Male,Weekly,45,view,Yes,Yes,10,2023-11-16
39,29,Male,Every 3 Months,37,like,Yes,Yes,44,2023-11-17
40,70,Male,Monthly,60,purchase,Yes,Yes,18,2023-11-18
41,69,Male,Quarterly,76,purchase,Yes,Yes,31,2023-11-19
42,67,Male,Annually,39,view,Yes,Yes,40,2023-11-20
43,20,Male,Annually,100,like,Yes,Yes,15,2023-11-21
44,25,Male,Fortnightly,69,view,Yes,Yes,19,2023-11-22
45,39,Male,Weekly,53,like,Yes,Yes,45,2023-11-23
46,50,Male,Annually,21,like,Yes,Yes,25,2023-11-24
47,57,Male,Quarterly,43,purchase,Yes,Yes,45,2023-11-25
48,55,Male,Weekly,54,view,Yes,Yes,36,2023-11-26
49,42,Male,Monthly,55,like,Yes,Yes,38,2023-11-27
50,68,Male,Bi-Weekly,30,purchase,Yes,Yes,34,2023-11-28
51,49,Male,Bi-Weekly,28,purchase,Yes,Yes,39,2023-11-29
52,59,Male,Quarterly,59,view,Yes,Yes,7,2023-11-30
53,42,Male,Weekly,20,like,Yes,Yes,26,2023-12-01
54,29,Male,Weekly,24,view,Yes,Yes,35,2023-12-02
55,47,Male,Bi-Weekly,94,purchase,Yes,Yes,35,2023-12-03
56,40,Male,Annually,28,view,Yes,Yes,49,2023-12-04
57,41,Male,Weekly,73,like,Yes,Yes,46,2023-12-05
58,21,Male,Fortnightly,64,view,Yes,Yes,17,2023-12-06
59,69,Male,Monthly,54,like,Yes,Yes,29,2023-12-07
60,63,Male,Weekly,79,like,Yes,Yes,4,2023-12-08
61,50,Male,Weekly,37,purchase,Yes,Yes,17,2023-12-09
62,55,Male,Every 3 Months,68,view,Yes,Yes,21,2023-12-10
63,30,Male,Fortnightly,21,like,Yes,Yes,31,2023-12-11
64,33,Male,Weekly,79,purchase,Yes,Yes,43,2023-12-12
65,65,Male,Fortnightly,83,purchase,Yes,Yes,18,2023-12-13
66,65,Male,Every 3 Months,36,view,Yes,Yes,44,2023-12-14
67,31,Male,Every 3 Months,94,like,Yes,Yes,3,2023-12-15
68,45,Male,Monthly,33,view,Yes,Yes,49,2023-12-16
69,57,Male,Every 3 Months,46,like,Yes,Yes,21,2023-12-17
70,48,Male,Weekly,70,like,Yes,Yes,5,2023-12-18
