uniqeid,subcategory,category,itempurchased,size,color,reviewrating,timestamp,isamazonseller,paymentmethod
af3dad3a794ffba7ff6851602c196b6b,"Clothing, Shoes & Jewelry | Men | Jewelry | Rings",Clothing,Shirt,L,Maroon,3.4,2023-09-16,Y,Bank Transfer
cfa126d7933c774be56800c5ba19f80d,Toys & Games | Games & Accessories | Board Games,Clothing,Hoodie,M,Orange,3.7,2023-07-18,Y,PayPal
20fb82da8a0052040a6885c8dd09e87c,"Clothing, Shoes & Jewelry | Costumes & Accessories | Kids & Baby | Girls | Costumes",Clothing,Jeans,M,Teal,3.1,2023-07-19,Y,Credit Card
57fdab053f7d292276c825079c5bf57f,Toys & Games | Building Toys | Building Sets,Unk,N,N,N,N,N,Y,Unk
0d6717f90961b4b0ec6f6441df53f01e,,Unk,N,N,N,N,N,Y,Unk
4c69b61db1fc16e7013b43fc926e502d,"Sports & Outdoors | Outdoor Recreation | Skates, Skateboards & Scooters | Skateboarding | Standard Skateboards & Longboards | Longboards",Clothing,Blouse,L,Gray,3.1,2023-10-10,Y,Venmo
66d49bbed043f5be260fa9f7fbff5957,Toys & Games | Learning & Education | Science Kits & Toys,Clothing,Sweater,L,Maroon,3.1,2023-10-11,Y,Cash
2c55cae269aebf53838484b0d7dd931a,Toys & Games | Arts & Crafts | Craft Kits,Clothing,Jeans,S,Maroon,3.1,2023-10-12,Y,Credit Card
18018b6bc416dab347b1b7db79994afa,Toys & Games | Hobbies | Models & Model Kits | Model Kits | Airplane & Jet Kits,Footwear,Sandals,M,Maroon,3.5,2023-10-13,Y,PayPal
e04b990e95bf73bbe6a3fa09785d7cd0,Toys & Games | Puzzles | Jigsaw Puzzles,Clothing,Blouse,M,Turquoise,2.7,2023-10-14,Y,PayPal
f8c32a45e507a177992973cf0d46d20c,,Footwear,Sneakers,M,White,2.9,2023-10-15,Y,Venmo
40d3cd16b41970ae6872e914aecf2c8e,"Clothing, Shoes & Jewelry | Costumes & Accessories | Kids & Baby | Girls | Costumes",Clothing,Shirt,M,Gray,3.2,2023-10-16,Y,Cash
bc178f33a04dbccefa95b165f8b56830,Toys & Games | Arts & Crafts | Drawing & Painting Supplies | Crayons,Clothing,Shorts,L,Charcoal,3.2,2023-10-17,Y,Credit Card
cc2083338a16c3fe2f7895289d2e98fe,Home & Kitchen | Home Décor | Window Treatments | Window Stickers & Films | Window Films,Outerwear,Coat,L,Silver,2.6,2023-10-18,Y,Venmo
69828c5570dcdbd1609216d33fbad0db,,Accessories,Handbag,M,Pink,4.8,2023-10-19,Y,Cash
7b0746d8afc8462ba17f8a763d9d5f1e,Toys & Games | Baby & Toddler Toys,Footwear,Shoes,L,Purple,4.1,2023-10-20,Y,Bank Transfer
c5f4c94653a3befd8dd16adf2914c04e,"Toys & Games | Collectible Toys | Statues, Bobbleheads & Busts | Statues",Clothing,Shorts,S,Olive,4.9,2023-10-21,Y,Bank Transfer
615ba903c134f439eaf8cdd1678ceb5c,Baby Products | Nursery | Décor | Window Treatments | Valances,Outerwear,Coat,M,Gold,4.5,2023-10-22,Y,Venmo
82c86a4d24dce5e14303033d7b658b78,Toys & Games | Building Toys | Building Sets,Clothing,Dress,M,Violet,4.7,2023-10-23,Y,PayPal
1ecccb43e0f5c0162218371916ffa553,Toys & Games | Arts & Crafts | Craft Kits,Outerwear,Coat,L,Teal,4.7,2023-10-24,Y,Debit Card
d1ac6d805fcdf75f9e00af611dd03ce4,Toys & Games | Baby & Toddler Toys | Musical Toys,Clothing,Skirt,M,Teal,2.8,2023-10-25,Y,PayPal
d82015ffbf4cd54b0edfb890002971f3,Toys & Games | Learning & Education | Flash Cards,Accessories,Sunglasses,S,Gray,4.1,2023-10-26,Y,Debit Card
39f1b8a2129315da0288cd058b6b6086,Home & Kitchen | Furniture | Kids' Furniture | Tables & Chairs | Tables,Clothing,Dress,XL,Lavender,4.7,2023-10-27,Y,Venmo
4af0833f20a8421788fc04577b0ef1c5,Toys & Games | Novelty & Gag Toys | Money Banks,Clothing,Sweater,S,Black,4.6,2023-10-28,Y,Cash
fd71391871b94ead84733bc272dd5886,Toys & Games | Baby & Toddler Toys | Musical Toys,Clothing,Pants,M,Green,3.3,2023-10-29,Y,Debit Card
